year,groom_first,groom_remarry,bride_first,bride_remarry,groom_gap,bride_gap
2003,29.1,40.2,26.6,34.2,11.1,7.6
2004,29.4,40.5,26.7,34.7,11.1,8
2005,29.8,41.1,26.9,34.8,11.3,7.9
2006,29.7,41.1,27,35.1,11.4,8.1
2007,29.8,41.3,27.2,35.1,11.5,7.9
2008,29.8,41.4,27.3,35.5,11.6,8.2
2009,29.8,41.8,27.5,35.7,12,8.2
2010,30,41.8,27.7,36.3,11.8,8.6
2011,30.1,41.8,28,36.5,11.7,8.5
2012,30.1,42.1,28,36.4,12,8.4
2013,30.2,42.5,28.1,36.6,12.3,8.5
2014,30.2,42.7,28.2,37,12.5,8.8
2015,30.3,43.3,28.2,37.5,13,9.3
2016,30.3,43.3,28.3,37.1,13,8.8
2017,30,43.3,28.4,37.4,13.3,9
2018,30.2,43.8,28.5,37.9,13.6,9.4
2019,30.4,44.2,28.8,38.3,13.8,9.5
2020,30.4,43.3,28.8,38,12.9,9.2
2021,30.5,42.4,29.1,37.6,11.9,8.5
2022,30.7,44.6,29.3,39.3,13.9,10
2023,31,45,29.5,39.4,14,9.9
2024,31.1,45,29.6,39.6,13.9,10
