year,gender,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 & Over
2003,Brides,620,5639,9798,3539,1254,616,318,114,49,15
2003,Grooms,139,2103,8923,5613,2476,1323,714,373,179,119
2004,Brides,683,5493,9450,3868,1441,668,354,140,58,34
2004,Grooms,129,2138,8259,5812,2665,1492,851,480,200,163
2005,Brides,731,5331,9634,4216,1645,770,398,165,69,33
2005,Grooms,120,2056,7936,5960,2873,1795,1108,607,314,223
2006,Brides,636,5114,10317,4479,1681,825,377,158,81,38
2006,Grooms,125,1985,8505,6327,2929,1613,1064,610,312,236
2007,Brides,643,4791,10528,4680,1825,819,399,186,62,33
2007,Grooms,116,1899,8468,6398,3040,1771,1078,610,347,239
2008,Brides,562,4699,11013,4798,1900,890,421,187,83,43
2008,Grooms,130,1823,8847,6510,3216,1768,1052,623,361,266
2009,Brides,503,4770,11773,5226,2117,846,462,228,110,46
2009,Grooms,106,1783,9378,6923,3486,1800,1162,728,391,324
2010,Brides,471,4192,10748,5185,2065,812,509,243,87,51
2010,Grooms,99,1696,8297,6686,3310,1746,1154,673,397,305
2011,Brides,408,4444,12123,5972,2266,1069,528,280,99,69
2011,Grooms,101,1698,9275,7771,3679,1842,1221,815,473,383
2012,Brides,386,4622,12213,6308,2358,1071,542,244,115,77
2012,Grooms,84,1907,9429,8012,3744,1907,1201,794,438,420
2013,Brides,355,4030,11428,6134,2347,1027,517,241,114,61
2013,Grooms,81,1675,8745,7765,3508,1826,1094,766,425,369
2014,Brides,286,4042,12820,6704,2390,1127,566,287,117,68
2014,Grooms,70,1625,9834,8444,3697,2053,1090,764,456,374
2015,Brides,278,3772,12763,6713,2501,1183,582,310,121,99
2015,Grooms,72,1534,9698,8524,3689,2024,1106,747,486,442
2016,Brides,244,3448,12945,6574,2511,1141,595,292,126,95
2016,Grooms,52,1415,9838,8359,3681,1941,1076,700,439,470
2017,Brides,204,3259,13361,6490,2595,1145,623,295,144,96
2017,Grooms,58,1376,10494,8102,3623,1925,1047,690,464,433
2018,Brides,159,2997,12467,6464,2555,1119,655,327,154,110
2018,Grooms,40,1295,9722,7891,3579,1757,1099,699,465,460
2019,Brides,146,2611,11143,6573,2540,1123,661,343,170,124
2019,Grooms,53,1129,8623,7795,3471,1665,1033,659,492,514
2020,Brides,134,2394,9992,5967,2241,915,499,274,137,98
2020,Grooms,40,1127,7841,7242,2990,1409,854,490,324,334
2021,Brides,123,2661,12458,8263,2682,1019,526,324,138,135
2021,Grooms,32,1229,9759,9899,3716,1570,830,545,374,375
2022,Brides,135,2462,12244,8654,2998,1305,775,425,218,173
2022,Grooms,38,1134,9501,10133,3873,1812,1043,741,513,601
2023,Brides,111,2113,11374,8509,3180,1475,715,455,197,181
2023,Grooms,40,976,8630,9725,3883,1938,1125,767,552,674
