Singapore Department of Statistics, TableBuilder
Table M830170
"Marriages By Age Group And Previous Marital Status Of Grooms/Brides And Type Of Marriage, Annual"
Data as at: 10/07/2026
Downloaded: 27/07/2026
Unit: Number
Footnote: Rows filtered to Total Marriages (all previous marital statuses combined); Civil/Muslim and previous-marital-status breakdowns excluded from this export.
Source: SingStat TableBuilder (https://tablebuilder.singstat.gov.sg/table/TS/M830170)


,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Marriages - Grooms,21962,22189,22992,23706,23966,24596,26081,24363,27258,27936,26254,28407,28322,27971,28212,27007,25434,22651,28329,29389,28310
Under 20,139,129,120,125,116,130,106,99,101,84,81,70,72,52,58,40,53,40,32,38,40
20-24,2103,2138,2056,1985,1899,1823,1783,1696,1698,1907,1675,1625,1534,1415,1376,1295,1129,1127,1229,1134,976
25-29,8923,8259,7936,8505,8468,8847,9378,8297,9275,9429,8745,9834,9698,9838,10494,9722,8623,7841,9759,9501,8630
30-34,5613,5812,5960,6327,6398,6510,6923,6686,7771,8012,7765,8444,8524,8359,8102,7891,7795,7242,9899,10133,9725
35-39,2476,2665,2873,2929,3040,3216,3486,3310,3679,3744,3508,3697,3689,3681,3623,3579,3471,2990,3716,3873,3883
40-44,1323,1492,1795,1613,1771,1768,1800,1746,1842,1907,1826,2053,2024,1941,1925,1757,1665,1409,1570,1812,1938
45-49,714,851,1108,1064,1078,1052,1162,1154,1221,1201,1094,1090,1106,1076,1047,1099,1033,854,830,1043,1125
50-54,373,480,607,610,610,623,728,673,815,794,766,764,747,700,690,699,659,490,545,741,767
55-59,179,200,314,312,347,361,391,397,473,438,425,456,486,439,464,465,492,324,374,513,552
60 & Over,119,163,223,236,239,266,324,305,383,420,369,374,442,470,433,460,514,334,375,601,674
Total Marriages - Brides,21962,22189,22992,23706,23966,24596,26081,24363,27258,27936,26254,28407,28322,27971,28212,27007,25434,22651,28329,29389,28310
Under 20,620,683,731,636,643,562,503,471,408,386,355,286,278,244,204,159,146,134,123,135,111
20-24,5639,5493,5331,5114,4791,4699,4770,4192,4444,4622,4030,4042,3772,3448,3259,2997,2611,2394,2661,2462,2113
25-29,9798,9450,9634,10317,10528,11013,11773,10748,12123,12213,11428,12820,12763,12945,13361,12467,11143,9992,12458,12244,11374
30-34,3539,3868,4216,4479,4680,4798,5226,5185,5972,6308,6134,6704,6713,6574,6490,6464,6573,5967,8263,8654,8509
35-39,1254,1441,1645,1681,1825,1900,2117,2065,2266,2358,2347,2390,2501,2511,2595,2555,2540,2241,2682,2998,3180
40-44,616,668,770,825,819,890,846,812,1069,1071,1027,1127,1183,1141,1145,1119,1123,915,1019,1305,1475
45-49,318,354,398,377,399,421,462,509,528,542,517,566,582,595,623,655,661,499,526,775,715
50-54,114,140,165,158,186,187,228,243,280,244,241,287,310,292,295,327,343,274,324,425,455
55-59,49,58,69,81,62,83,110,87,99,115,114,117,121,126,144,154,170,137,138,218,197
60 & Over,15,34,33,38,33,43,46,51,69,77,61,68,99,95,96,110,124,98,135,173,181
